,date,text_length
290,2012-11-21,184
291,2012-11-26,131
292,2012-11-27,172
293,2012-11-28,129
294,2012-11-29,208
295,2012-11-30,138
296,2012-12-03,91
297,2012-12-04,130
298,2012-12-05,151
299,2012-12-06,178
300,2012-12-07,127
301,2012-12-10,132
302,2012-12-11,102
303,2012-12-12,149
304,2012-12-13,150
305,2012-12-14,95
306,2012-12-17,108
307,2012-12-18,172
308,2012-12-19,174
309,2012-12-20,192
310,2012-12-26,257
311,2013-01-02,195
312,2013-01-03,187
313,2013-01-04,156
314,2013-01-07,189
315,2013-01-08,159
316,2013-01-09,214
317,2013-01-10,147
318,2013-01-14,276
319,2013-01-15,167
320,2013-01-16,198
321,2013-01-17,143
322,2013-01-18,221
323,2013-01-21,196
324,2013-01-22,246
325,2013-01-23,163
326,2013-01-24,269
327,2013-01-28,161
328,2013-01-29,199
329,2013-01-30,114
330,2013-01-31,198
331,2013-02-01,267
332,2013-02-04,218
333,2013-02-05,178
334,2013-02-06,154
335,2013-02-07,208
336,2013-02-08,209
337,2013-02-11,201
338,2013-02-12,220
339,2013-02-13,163
340,2013-02-14,201
341,2013-02-18,221
342,2013-02-19,421
343,2013-02-20,247
344,2013-02-21,332
345,2013-02-22,296
346,2013-02-25,387
347,2013-02-26,181
348,2013-02-27,316
349,2013-02-28,257
350,2013-03-05,191
351,2013-03-06,259
352,2013-03-07,267
353,2013-03-08,230
354,2013-03-11,132
355,2013-03-12,195
356,2013-03-13,205
357,2013-03-14,255
358,2013-03-15,227
359,2013-03-18,177
360,2013-03-19,251
361,2013-03-20,294
362,2013-03-21,390
363,2013-03-22,232
364,2013-04-01,123
365,2013-04-02,161
366,2013-04-03,377
367,2013-04-04,135
368,2013-04-05,148
369,2013-04-08,226
370,2013-04-09,170
371,2013-04-10,284
372,2013-04-11,155
373,2013-04-12,311
374,2013-04-15,236
375,2013-04-16,389
376,2013-04-17,405
377,2013-04-18,301
378,2013-04-19,149
379,2013-04-25,176
380,2013-05-01,240
381,2013-05-02,205
382,2013-05-03,395
383,2013-05-06,223
384,2013-05-07,289
385,2013-05-08,389
386,2013-05-13,322
387,2013-05-14,183
388,2013-05-15,223
389,2013-05-16,302
390,2013-05-17,247
391,2013-05-21,227
392,2013-05-22,215
393,2013-05-23,268
394,2013-05-28,175
395,2013-05-29,185
396,2013-05-30,167
397,2013-06-03,175
398,2013-06-04,263
399,2013-06-05,217
400,2013-06-10,245
401,2013-06-11,292
402,2013-06-12,199
403,2013-06-17,190
404,2013-06-18,243
405,2013-06-19,351
406,2013-06-20,199
407,2013-06-24,323
408,2013-06-26,248
409,2013-06-27,337
410,2013-07-08,232
411,2013-07-09,179
412,2013-07-11,221
413,2013-07-15,250
414,2013-07-16,179
415,2013-07-17,353
416,2013-07-18,355
417,2013-07-22,422
418,2013-07-23,207
419,2013-07-24,312
420,2013-07-25,280
421,2013-07-29,370
422,2013-07-30,335
423,2013-07-31,377
424,2013-08-01,360
425,2013-08-05,436
426,2013-08-06,156
427,2013-08-07,236
428,2013-08-08,214
429,2013-08-12,152
430,2013-08-13,195
431,2013-08-14,355
432,2013-08-15,276
433,2013-08-19,153
434,2013-08-20,154
435,2013-08-21,236
436,2013-08-27,178
437,2013-08-29,277
438,2013-09-03,194
439,2013-09-04,218
440,2013-09-05,94
441,2013-09-09,215
442,2013-09-10,292
443,2013-09-11,178
444,2013-09-12,161
445,2013-09-16,148
446,2013-09-17,231
447,2013-09-18,294
448,2013-09-19,394
449,2013-09-20,382
450,2013-09-23,266
451,2013-09-24,293
452,2013-09-25,329
453,2013-09-26,327
454,2013-09-27,368
455,2013-09-30,264
456,2013-10-01,262
457,2013-10-02,359
458,2013-10-03,291
459,2013-10-07,238
460,2013-10-08,208
461,2013-10-09,204
462,2013-10-10,299
463,2013-10-11,146
464,2013-10-14,267
465,2013-10-15,201
466,2013-10-16,279
467,2013-10-17,211
468,2013-10-18,259
469,2013-10-21,311
470,2013-10-22,229
471,2013-10-23,304
472,2013-10-24,203
473,2013-10-25,281
474,2013-10-28,267
475,2013-10-30,271
476,2013-10-31,235
477,2013-11-01,273
478,2013-11-04,232
479,2013-11-05,259
480,2013-11-06,177
481,2013-11-07,222
482,2013-11-08,218
483,2013-11-11,260
484,2013-11-12,186
485,2013-11-14,217
486,2013-11-18,383
487,2013-11-19,280
488,2013-11-20,323
489,2013-11-21,231
490,2013-11-25,275
491,2013-11-26,260
492,2013-12-02,240
493,2013-12-03,200
494,2013-12-04,234
495,2013-12-05,253
496,2013-12-10,207
497,2013-12-11,333
498,2013-12-12,237
499,2013-12-16,346
500,2013-12-17,216
501,2013-12-18,206
502,2013-12-19,263
503,2013-12-20,262
504,2013-12-23,198
505,2014-01-02,194
506,2014-01-06,223
507,2014-01-07,183
508,2014-01-08,256
509,2014-01-09,241
510,2014-01-10,289
511,2014-01-13,176
512,2014-01-14,192
513,2014-01-15,227
514,2014-01-16,316
515,2014-01-17,291
516,2014-01-20,308
517,2014-01-21,168
518,2014-01-22,285
519,2014-01-23,248
520,2014-01-24,247
521,2014-01-27,313
522,2014-01-28,305
523,2014-01-19,244
524,2014-01-30,223
525,2014-01-31,256
526,2014-02-04,322
527,2014-02-05,190
528,2014-02-06,160
529,2014-02-07,191
530,2014-02-10,289
531,2014-02-11,240
532,2014-02-12,391
533,2014-02-13,402
534,2014-02-14,242
535,2014-02-17,162
536,2014-02-18,285
537,2014-02-19,273
538,2014-02-20,220
539,2014-02-21,272
540,2014-02-24,244
541,2014-02-25,246
542,2014-02-26,227
543,2014-02-28,248
544,2014-03-03,327
545,2014-03-04,199
546,2014-03-05,267
547,2014-03-06,207
548,2014-03-07,222
549,2014-03-10,330
550,2014-03-11,384
551,2014-03-12,225
552,2014-03-13,299
553,2014-03-14,343
554,2014-03-17,316
555,2014-03-18,366
556,2014-03-19,193
557,2014-03-20,193
558,2014-03-21,238
559,2014-03-24,359
560,2014-03-25,400
561,2014-03-26,367
562,2014-03-27,313
563,2014-03-28,276
564,2014-03-31,250
565,2014-04-01,315
566,2014-04-02,364
567,2014-04-03,382
568,2014-04-04,325
569,2014-04-07,239
570,2014-04-08,229
571,2014-04-09,350
572,2014-04-10,383
573,2014-04-11,300
574,2014-04-14,378
575,2014-04-15,267
576,2014-04-16,295
577,2014-04-17,415
578,2014-04-18,302
579,2014-04-21,350
580,2014-04-22,214
581,2014-04-23,216
582,2014-04-24,183
583,2014-04-25,384
584,2014-04-28,304
585,2014-04-29,211
586,2014-04-30,230
587,2014-05-01,301
588,2014-05-02,306
589,2014-05-12,283
590,2014-05-13,367
591,2014-05-14,339
592,2014-05-15,312
593,2014-05-16,280
594,2014-05-19,229
595,2014-05-20,348
596,2014-05-21,235
597,2014-05-22,215
598,2014-05-23,295
599,2014-05-27,350
600,2014-05-28,327
601,2014-05-29,308
602,2014-05-30,249
603,2014-06-02,261
604,2014-06-03,169
605,2014-06-04,183
606,2014-06-05,298
607,2014-06-09,297
608,2014-06-10,336
609,2014-06-11,277
610,2014-06-12,322
611,2014-06-13,325
612,2014-06-16,233
613,2014-06-19,157
614,2014-06-20,382
615,2014-06-23,393
616,2014-06-24,236
617,2014-06-25,454
618,2014-06-26,243
619,2014-06-27,288
620,2014-06-30,240
621,2014-07-01,365
622,2014-07-02,294
623,2014-07-03,440
624,2014-07-07,272
625,2014-07-08,307
626,2014-07-09,300
627,2014-07-10,436
628,2014-07-11,523
629,2014-07-14,301
630,2014-07-15,402
631,2014-07-16,289
632,2014-07-17,381
633,2014-07-21,441
634,2014-07-22,266
635,2014-07-23,449
636,2014-07-24,273
637,2014-07-25,412
638,2014-07-29,384
639,2014-07-30,429
640,2014-07-31,484
641,2014-08-05,393
642,2014-08-06,328
